,title,artist
169,Love Will Tear Us Apart,Joy Division
170,September Gurls,Big Star
171,Free Fallin,Tom Petty
172,Dont Worry Baby,The Beach Boys
173,I Fought the Law,The Bobby Fuller Four
174,Paint it Black,The Rolling Stones
175,God Save the Queen,The Sex Pistols
176,Dancing Queen,Abba
177,Dream On,Aerosmith
178,99 Problems,Jay-Z
179,Both Sides Now,Joni Mitchell
180,Losing My Religion,R.E.M.
181,Papa Was a Rollin Stone,The Temptations
182,Lets Get It On,Marvin Gaye
183,Fast Car,Tracy Chapman
184,Bohemian Rhapsody,Queen
185,Nothing Compares 2 U,Sinead O'Connor
186,I Cant Stop Loving You,Ray Charles
187,Folsom Prison Blues,Johnny Cash
188,Bring the Noise,Public Enemy
189,Im Waiting for the Man,The Velvet Underground
190,Moment of Surrender,U2
191,(Were Gonna) Rock Around the Clock,Bill Haley and His Comets
192,I Only Have Eyes for You,The Flamingos
193,The Sounds of Silence,Simon and Garfunkel
194,Proud Mary,Creedence Clearwater Revival
195,Rave On,Buddy Holly and the Crickets
196,A Hard Days Night,The Beatles
197,Foxey Lady,The Jimi Hendrix Experience
198,Earth Angel,The Penguins
199,Eight Miles High,The Byrds
200,Hot Fun in the Summertime,Sly and the Family Stone
201,The Night They Drove Old Dixie Down,The Band
202,(Your Love Keeps Lifting Me) Higher and Higher,Jackie Wilson
203,Gimme Some Lovin,The Spencer Davis Group
204,Love Shack,The B-52's
205,Rocket Man,Elton John
206,Stand!,Sly and the Family Stone
207,The Wanderer,Dion
208,Son of a Preacher Man,Dusty Springfield
209,I Fall to Pieces,Patsy Cline
210,Planet Rock,Afrika Bambaataa and the Soul Sonic Force
211,I Got a Woman,Ray Charles
212,Everyday,Buddy Holly and the Crickets
213,Ill Feel a Whole Lot Better,The Byrds
214,Paper Planes,M.I.A.
215,We Gotta Get Out of This Place,The Animals
216,Only the Lonely,Roy Orbison
217,Sexual Healing,Marvin Gaye
218,Just Like a Woman,Bob Dylan
219,Moondance,Van Morrison
220,Mannish Boy,Muddy Waters
221,Good Times,Chic
222,Should I Stay or Should I Go,The Clash
223,Fire and Rain,James Taylor
224,Hoochie Coochie Man,Muddy Waters
225,Dance to the Music,Sly and the Family Stone
226,Oh,Roy Orbison
227,Walk on the Wild Side,Lou Reed
228,Walk Away Renee,The Left Banke
229,Spoonful,Howlin' Wolf
230,Boom Boom,John Lee Hooker
231,Jolene,Dolly Parton
232,Do You Believe in Magic,The Lovin' Spoonful
233,Your Cheatin Heart,Hank Williams
234,Rockin in the Free World,Neil Young
235,1999,Prince
236,Caroline,The Beach Boys
237,96 Tears,? and the Mysterians
238,In My Room,The Beach Boys
239,Gloria,Them
240,Bye Bye Love,The Everly Brothers
241,Reach Out,The Four Tops
242,Lean on Me,Bill Withers
243,Try a Little Tenderness,Otis Redding
244,Positively 4th Street,Bob Dylan
245,Come Together,The Beatles
246,Bizarre Love Triangle,New Order
247,Loser,Beck
248,Flash Light,Parliament
249,Hey Joe,The Jimi Hendrix Experience
250,Black Dog,Led Zeppelin
251,Tired of Being Alone,Al Green
252,Train in Vain,The Clash
253,Shes Not There,The Zombies
254,Stan,Eminem feat. Dido
255,Cant Buy Me Love,The Beatles
256,Money (Thats What I Want),Barrett Strong
257,Walk This Way,Run-DMC
258,Summer Babe (Winter Version),Pavement
259,Smokestack Lightning,Howlin' Wolf
260,(Whats So Funny About) Peace,Elvis Costello and the Attractions
261,Call Me,Blondie
262,Help Me,Joni Mitchell
263,You Are the Sunshine of My Life,Stevie Wonder
264,Seven Nation Army,The White Stripes
265,Aint No Sunshine,Bill Withers
266,Chapel of Love,The Dixie Cups
267,Pictures of You,The Cure
268,Ziggy Stardust,David Bowie
269,Ill Take You There,The Staple Singers
